account_id,account_name,sector,year_established,revenue,employees,office_location,subsidiary_of,propensity_to_buy,city,state,zip,latitude,longitude
1000,Acme Corporation,technolgy,1996,1100.04,2822,United States,,0.586207,Boone,Iowa,50036,42.0646,-93.8826
1001,Betasoloin,medical,1999,251.41,495,United States,,0.62963,Baton Rouge,Louisiana,70806,30.4515,-91.1871
1002,Betatech,medical,1986,647.18,1185,United States,,0.616279,St. Paul,Minnesota,55104,44.9532,-93.1603
1003,Bioholding,medical,2012,587.34,1356,Philipines,,0.588235,Meridian,Idaho,83642,43.6121,-116.392
1004,Bioplex,medical,1991,326.82,1016,United States,,0.673913,Chicago,Illinois,60614,41.8781,-87.6298
1005,Blackzim,retail,2009,497.11,1588,United States,,0.577465,Columbia,South Carolina,29201,34.0007,-81.0348
1006,Bluth Company,technolgy,1993,1242.32,3027,United States,Acme Corporation,0.583333,Story City,Iowa,50248,42.1875,-93.5952
1007,Bubba Gump,software,2002,987.39,2253,United States,,0.666667,Casper,Wyoming,82601,42.8501,-106.325
1008,Cancity,retail,2001,718.62,2448,United States,,0.591398,Colorado Springs,Colorado,80903,38.8339,-104.821
1009,Cheers,entertainment,1993,4269.9,6472,United States,Massive Dynamic,0.633333,Colorado Springs,Colorado,80918,38.8339,-104.821
1010,Codehow,software,1998,2714.9,2641,United States,Acme Corporation,0.615385,Juneau,Alaska,99801,58.3019,-134.42
1011,Condax,medical,2017,4.54,9,United States,,0.660377,Denver,Colorado,80202,39.7392,-104.99
1012,Conecom,technolgy,2005,1520.66,1806,United States,,0.613636,Jersey City,New Jersey,7302,40.7178,-74.0431
1013,Dalttechnology,software,2013,98.79,96,United States,Bubba Gump,0.704918,Columbus,Georgia,31901,32.461,-84.9877
1014,dambase,marketing,1995,2173.98,2928,United States,Inity,0.593407,St. Paul,Minnesota,55106,44.9537,-93.09
1015,Domzoom,entertainment,1998,217.87,551,United States,,0.679487,Lincoln,Nebraska,68508,40.8136,-96.7026
1016,Doncon,technolgy,2010,587.72,1501,United States,,0.589286,St. Paul,Minnesota,55102,44.9537,-93.09
1017,Donquadtech,technolgy,1992,1712.68,3194,United States,Acme Corporation,0.714286,Waukee,Iowa,50263,41.6145,-93.8845
1018,Dontechi,software,1982,4618,10083,United States,,0.598291,New York City,New York,10001,40.7128,-74.006
1019,Donware,marketing,1999,1197.44,2570,United States,,0.555556,Green Bay,Wisconsin,54301,44.5133,-88.0133
1020,Fasehatice,retail,1990,4968.91,7523,United States,,0.604938,Los Angeles,California,90001,34.0522,-118.244
1021,Faxquote,telecommunications,1995,1825.82,5595,United States,Sonron,0.631579,Missoula,Montana,59801,46.8721,-113.994
1022,Finhigh,finance,2006,1102.43,1759,United States,,0.580645,Columbia,Maryland,21044,39.2037,-76.861
1023,Finjob,employment,1988,2059.9,3644,United States,,0.703704,Cranston,Rhode Island,2910,41.7798,-71.4373
1024,Funholding,finance,1991,2819.5,7227,United States,Golddex,0.59596,Lewiston,Maine,4240,44.1003,-70.2148
1025,Ganjaflex,retail,1995,5158.71,17479,Japan,,0.613333,Rochester,New York,14604,43.1566,-77.6088
1026,Gekko & Co,retail,1990,2520.83,3502,United States,,0.705882,Rochester,Minnesota,55901,44.0121,-92.4802
1027,Genco Pura Olive Oil Company,retail,2007,894.33,1635,Italy,,0.62069,Boston,Massachusetts,2108,42.3601,-71.0589
1028,Globex Corporation,technolgy,2000,1223.72,2497,Norway,,0.588235,Buffalo,New York,14201,42.8864,-78.8784
1029,Gogozoom,telecommunications,2007,86.68,187,United States,Sonron,0.69863,Augusta,Georgia,30901,33.4735,-82.0105
1030,Golddex,finance,2008,52.5,165,United States,,0.568966,Salt Lake City,Utah,84101,40.7608,-111.891
1031,Goodsilron,marketing,2000,2952.73,5107,United States,,0.738636,Des Moines,Iowa,50318,41.6014,-93.6185
1032,Green-Plus,services,2003,692.19,1922,United States,,0.569444,Sioux Falls,South Dakota,57104,43.5446,-96.7311
1033,Groovestreet,retail,2003,223.8,299,United States,,0.636364,Joliet,Illinois,60431,41.525,-88.0817
1034,Hatfan,services,1982,792.46,1299,United States,,0.565789,St. Louis,Missouri,63101,38.627,-90.1994
1035,Hottechi,technolgy,1997,8170.38,16499,United States,,0.57513,Davenport,Iowa,52801,41.5226,-90.5872
1036,Initech,telecommunications,1994,6395.05,20275,United States,,0.587302,Manchester,New Hampshire,3101,42.9956,-71.4548
1037,Inity,marketing,1986,2403.58,8801,United States,,0.68,Chesapeake,Virginia,23320,36.7682,-76.2875
1038,Isdom,medical,2002,3178.24,4540,United States,,0.580357,Fargo,North Dakota,58102,46.8772,-96.7898
1039,Iselectrics,technolgy,2011,527.11,1428,United States,Acme Corporation,0.657895,Augusta,Georgia,30904,33.4735,-82.0105
1040,J-Texon,retail,1989,1388.67,3583,United States,,0.684932,San Jose,California,95110,37.3382,-121.886
1041,Kan-code,software,1982,11698.03,34288,United States,,0.614973,West Valley City,Utah,84119,40.6916,-111.979
1042,Kinnamplus,retail,2004,702.72,1831,United States,,0.645161,Charleston,West Virginia,25301,38.3498,-81.6326
1043,Konex,technolgy,1980,7708.38,13756,United States,,0.631579,Tulsa,Oklahoma,74103,36.154,-95.9928
1044,Konmatfix,marketing,1985,375.43,1190,United States,,0.65625,Gulfport,Mississippi,39501,30.3674,-89.0928
1045,Labdrill,medical,1985,2741.37,9226,United States,,0.647887,Columbus,Ohio,43215,39.9612,-82.9988
1046,Lexiqvolax,medical,2004,1618.89,3889,United States,,0.590909,Pittsburgh,Pennsylvania,15201,40.4406,-79.9959
1047,Massive Dynamic,entertainment,1989,665.06,1095,United States,,0.644068,Providence,Rhode Island,2903,41.824,-71.4128
1048,Mathtouch,marketing,1984,3027.46,9516,United States,,0.641975,Johnston,Iowa,50131,41.6676,-93.699
1049,Nam-zim,services,1987,405.59,1179,Brazil,Warephase,0.615385,Raleigh,North Carolina,27601,35.7796,-78.6382
1050,Newex,services,1991,1012.72,3492,Germany,,0.72549,Seattle,Washington,98101,47.6062,-122.332
1051,Ontomedia,employment,1997,882.12,2769,United States,,0.607143,Providence,Rhode Island,2908,41.824,-71.4128
1052,Opentech,finance,1994,355.23,853,United States,,0.6,Warwick,Rhode Island,2886,41.7001,-71.4162
1053,Plexzap,retail,2001,2437.85,4874,United States,,0.635135,Casper,Wyoming,82604,42.8501,-106.325
1054,Plusstrip,entertainment,2002,349.81,315,United States,,0.717391,Allentown,Pennsylvania,18101,40.6023,-75.4714
1055,Plussunin,retail,2003,1419.98,4018,United States,,0.604396,Missoula,Montana,59802,46.8721,-113.994
1056,Rangreen,technolgy,1987,2938.67,8775,Panama,,0.75,Charleston,South Carolina,29401,32.7765,-79.9311
1057,Rantouch,telecommunications,1994,1188.42,3015,United States,,0.584615,Aurora,Colorado,80011,39.7294,-104.832
1058,Ron-tech,medical,1992,3922.42,6837,United States,,0.654206,Minneapolis,Minnesota,55401,44.9778,-93.265
1059,Rundofase,technolgy,1983,1008.06,1238,United States,,0.677083,Springfield,Missouri,65802,37.209,-93.2923
1060,Scotfind,software,1996,6354.87,16780,United States,Bubba Gump,0.683673,Shreveport,Louisiana,71101,32.5252,-93.7502
1061,Scottech,marketing,2012,45.39,100,United States,Inity,0.623377,Rutland,Vermont,5701,43.6106,-72.9726
1062,Silis,medical,1994,2818.38,6290,United States,,0.555556,New York City,New York,10002,40.7128,-74.006
1063,Singletechno,retail,1996,2214.94,5374,United States,,0.692308,Wes Des Moines,Iowa,50265,41.5824,-93.7085
1064,Sonron,telecommunications,1999,1699.85,5108,United States,,0.630137,Louisville,Kentucky,40202,38.2527,-85.7585
1065,Stanredtax,finance,1987,1698.2,3798,United States,,0.69,Phoenix,Arizona,85001,33.4484,-112.074
1066,Statholdings,employment,1997,291.27,586,United States,,0.53125,Salt Lake City,Utah,84111,40.7608,-111.891
1067,Streethex,retail,1988,1376.8,1165,Belgium,,0.605769,Bellevue,Nebraska,68005,41.1575,-95.9239
1068,Sumace,retail,2000,167.89,493,Romania,,0.560976,Milwaukee,Wisconsin,53202,43.0389,-87.9065
1069,Sunnamplex,marketing,2008,894.37,1593,Poland,,0.661765,Grand Forks,North Dakota,58201,47.9253,-97.0329
1070,The New York Inquirer,medical,1996,439.21,792,United States,,0.636364,Cedar Rapids,Iowa,52401,41.9805,-91.6597
1071,Toughzap,retail,1995,332.43,799,United States,,0.619048,Columbus,Ohio,43210,39.9612,-82.9988
1072,Treequote,telecommunications,1988,5266.09,8595,United States,Sonron,0.613208,Marshalltown,Iowa,50158,42.0467,-92.9068
1073,Umbrella Corporation,finance,1998,2022.14,5113,United States,,0.623377,Aurora,Illinois,80501,41.7606,-88.3201
1074,Vehement Capital Partners,finance,1993,646.1,883,United States,Golddex,0.596491,Philadelphia,Pennsylvania,19102,39.9526,-75.1652
1075,Warephase,services,1997,2041.73,5276,United States,,0.693069,Seattle,Washington,98104,47.6062,-122.332
1076,Xx-holding,finance,1993,7537.24,20293,United States,,0.607595,Augusta,Georgia,30906,33.4735,-82.0105
1077,Xx-zobam,entertainment,1989,3838.39,8274,United States,,0.554217,Salem,Oregon,97301,44.9429,-123.035
1078,Y-corporation,employment,1983,2871.35,9561,United States,,0.635294,Milwaukee,Wisconsin,53203,43.0389,-87.9065
1079,Yearin,retail,2005,2261.05,3851,United States,,0.642857,Little Rock,Arkansas,72201,34.7465,-92.2896
1080,Zathunicon,retail,2010,71.12,144,United States,,0.653846,Charleston,West Virginia,25302,38.3498,-81.6326
1081,Zencorporation,technolgy,2011,40.79,142,China,,0.6875,Tampa,Florida,33602,27.9506,-82.4572
1082,Zoomit,entertainment,1992,324.19,978,United States,,0.717391,Philadelphia,Pennsylvania,19104,39.9526,-75.1652
1083,Zotware,software,1979,4478.47,13809,United States,,0.671429,Aberdeen,South Dakota,57401,45.4647,-98.4865
1084,Zumgoity,medical,1984,441.08,1210,United States,,0.631579,Buffalo,New York,14203,42.8864,-78.8784
